date,variant,equity,cash_free,cash_pending,n_tickers,max_concentration,cost_total_cum,ret_cash,regime_defensive_used,def_sell_25_cum,def_sell_50_cum,def_sell_100_cum,quarantine_size,quarantine_entries_cum,rebalance_cadence,is_rebalance_day,equity_base100
2018-01-02,C3,100005.63492063493,100005.63492063493,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,1,100.0
2018-01-03,C3,100011.27015879315,100011.27015879315,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.00563492063492
2018-01-04,C3,100016.90571449258,100016.90571449258,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.01127015879314
2018-01-05,C3,100022.5415877511,100022.5415877511,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.01690571449258
2018-01-08,C3,100028.1777785866,100028.1777785866,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.0225415877511
2018-01-09,C3,100033.81428701698,100033.81428701698,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.0281777785866
2018-01-10,C3,100039.45111306015,100039.45111306015,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.03381428701698
2018-01-11,C3,100045.08825673397,100045.08825673397,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.03945111306014
2018-01-12,C3,100050.72571805638,100050.72571805638,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.04508825673398
2018-01-16,C3,100056.36349704525,100056.36349704525,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.05072571805638
2018-01-17,C3,100062.00159371851,100062.00159371851,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,1,100.05636349704525
2018-01-18,C3,100067.64000809404,100067.64000809404,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.06200159371852
2018-01-19,C3,100073.27874018974,100073.27874018974,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.06764000809403
2018-01-22,C3,100078.91779002351,100078.91779002351,0.0,0,0.0,0.0,5.634920634920634e-05,0,0,0,0,0,0,10,0,100.07327874018972
